@relation javac

@attribute level 		NUMERIC
@attribute size 		NUMERIC
@attribute package 		NUMERIC
@attribute class 		NUMERIC
@attribute method 		NUMERIC
@attribute accept 		{yes, no}

@data
20,31,8,13,14,no
1,273,14,59,136,yes
1,1,1,1,1,no
4,12,4,8,3,no
5,28,7,21,16,no
10,5,3,2,5,no
10,5,4,5,4,no
10,40,13,19,32,no
12,24,5,9,17,no
18,1,1,1,1,no
18,312,15,34,82,yes
1,2,2,1,2,no
1,1,1,1,1,no
1,21,7,12,12,no
2,1,1,1,1,no
4,8,4,5,6,no
4,2,2,2,1,no
4,12,4,8,3,no
4,5,4,5,3,no
5,63,8,17,45,no
5,1,1,1,1,no
5,23,5,6,17,no
5,29,7,21,17,no
5,4,4,4,1,no
8,1,1,1,1,no
9,1,1,1,1,no
10,2,2,2,2,no
12,6,3,2,5,no
14,4,2,3,3,no
13,64,7,13,27,no
16,65,7,14,28,no
1,322,16,67,147,yes
1,1,1,1,1,no
1,21,7,12,12,no
4,12,4,8,3,no
5,28,7,21,16,no
5,6,6,6,2,no
10,5,4,5,4,no
10,2,2,2,2,no
18,1,1,1,1,no
18,118,13,28,49,yes
23,16,5,8,11,no
23,1,1,1,1,no
23,6,2,3,4,no
23,288,14,28,56,yes
27,6420,29,118,256,yes
1,2,2,1,2,no
1,1,1,1,1,no
2,1,1,1,1,no
3,1,1,1,1,no
3,1,1,1,1,no
4,2,2,2,2,no
4,3,3,2,3,no
4,2,2,2,1,no
4,2,2,2,1,no
5,1,1,1,1,no
5,1,1,1,1,no
5,2,2,2,1,no
8,1,1,1,1,no
9,1,1,1,1,no
10,3,2,2,3,no
11,2,2,2,2,no
15,2,2,2,1,no
17,2,2,1,2,no
17,1,1,1,1,no
6,1,1,1,1,no
6,2,2,2,2,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,3,3,2,3,no
9,1,1,1,1,no
8,2,2,1,2,no
3,2,2,2,2,no
9,1,1,1,1,no
4,1,1,1,1,no
12,3,2,1,3,no
12,1,1,1,1,no
11,3,2,3,1,no
6,2,2,2,1,no
19,1,1,1,1,no
10,3,2,3,2,no
7,3,3,3,2,no
6,1,1,1,1,no
6,2,2,2,1,no
8,3,3,3,3,no
5,6,2,3,6,no
5,2,2,2,2,no
5,2011,5,17,42,yes
7,44,3,8,18,no
7,1302,7,23,45,yes
9,11,3,6,9,no
10,41,4,12,20,no
14,6,3,4,4,no
15,322,2,4,8,no
2,1,1,1,1,no
2,1,1,1,1,no
2,4,3,2,4,no
2,1,1,1,1,no
3,4,2,1,4,no
3,40,6,9,30,yes
4,1,1,1,1,no
4,8,6,5,8,no
4,22,4,4,9,no
4,86,9,12,27,yes
4,104,10,14,29,yes
4,22,4,4,9,no
4,33,5,6,16,yes
4,1,1,1,1,no
4,3,2,2,2,no
4,1,1,1,1,no
4,10,4,5,8,no
4,1,1,1,1,no
4,20,5,6,12,no
4,1,1,1,1,no
4,1,1,1,1,no
4,2,2,2,2,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,3,2,2,3,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,2,2,2,2,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,3,3,2,3,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,18,5,8,10,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
6,1,1,1,1,no
5,11,5,8,8,no
6,28,7,8,25,no
6,14,5,7,11,no
6,1,1,1,1,no
6,1,1,1,1,no
8,37,5,5,13,yes
8,42,6,7,20,yes
7,2,2,2,2,no
12,3,2,2,3,no
12,1,1,1,1,no
9,376,9,50,29,yes
9,1,1,1,1,no
2,4,3,2,4,no
2,1,1,1,1,no
1,1,1,1,1,no
1,1,1,1,1,no
2,5,3,3,4,no
2,7,4,3,5,no
2,6,5,4,6,no
2,5,3,3,4,no
1,1,1,1,1,no
2,5,2,2,4,no
1,1,1,1,1,no
1,1,1,1,1,no
2,1,1,1,1,no
1,1,1,1,1,no
2,9,2,2,8,no
2,5,3,3,4,no
1,1,1,1,1,no
2,5,3,3,4,no
1,1,1,1,1,no
1,1,1,1,1,no
2,5,3,3,4,no
1,1,1,1,1,no
1,1,1,1,1,no
2,5,3,3,4,no
2,1,1,1,1,no
2,1,1,1,1,no
1,1,1,1,1,no
2,1,1,1,1,no
2,29,4,4,23,no
1,1,1,1,1,no
4,79,8,12,33,yes
5,285,13,26,71,yes
5,2,2,2,1,no
7,2,2,1,2,no
7,43,6,15,19,yes
7,26,6,12,18,no
7,158,14,27,18,yes
7,65,7,16,18,yes
7,60,8,16,18,yes
7,65,8,16,18,yes
7,108,7,22,18,yes
7,156,8,28,18,yes
7,364,13,23,74,yes
8,3,2,2,3,no
8,44,7,7,18,yes
8,28,4,4,16,no
8,24,4,5,15,no
8,61,6,14,27,yes
8,35,5,6,19,yes
8,36,4,5,13,yes
8,33,5,7,16,yes
8,63,7,14,29,yes
8,29,4,9,15,no
8,21,4,4,14,no
8,28,4,4,14,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,41,9,10,22,yes
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,68,8,10,26,yes
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,16,3,3,12,no
8,23,4,4,14,no
8,22,4,4,14,no
8,16,3,3,12,no
8,23,4,4,14,no
8,47,7,8,23,yes
8,23,4,4,14,no
8,22,4,4,14,no
8,23,4,4,14,no
8,43,5,9,22,yes
8,22,4,4,9,no
8,148,9,19,47,yes
8,21,4,4,9,no
8,338,12,27,66,yes
8,48,5,6,17,yes
8,22,4,4,9,no
8,22,4,4,9,no
8,41,5,7,15,yes
8,59,8,14,31,yes
8,41,6,7,25,yes
8,158,11,20,51,yes
8,22,4,4,9,no
8,22,4,4,9,no
8,59,7,9,37,yes
8,22,4,4,9,no
8,23,4,4,14,no
8,23,4,4,14,no
8,1,1,1,1,no
8,30,5,5,16,no
8,29,4,4,14,no
8,29,4,4,14,no
8,29,4,4,14,no
8,22,4,4,9,no
8,123,9,18,39,yes
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,50,5,13,21,yes
8,23,5,5,16,no
8,32,5,5,16,no
8,22,4,4,9,no
8,59,4,20,16,yes
8,22,4,4,9,no
8,137,8,11,34,yes
8,108,7,19,33,yes
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,22,4,4,9,no
8,11,4,3,7,no
8,21,5,4,13,no
8,16,3,3,12,no
8,22,4,4,9,no
8,151,9,14,45,yes
8,23,4,4,14,no
8,22,4,4,14,no
8,1,1,1,1,no
8,25,4,5,15,no
8,23,4,4,14,no
8,21,4,4,14,no
8,43,8,11,18,yes
8,23,4,4,14,no
8,22,4,4,14,no
8,26,4,5,20,no
8,30,5,7,17,no
8,19,4,4,9,no
8,51,6,9,26,yes
8,23,4,4,14,no
8,62,8,12,25,yes
8,69,8,15,37,yes
8,22,4,4,9,no
8,106,8,11,37,yes
8,29,6,9,15,no
8,1,1,1,1,no
8,1,1,1,1,no
8,125,8,16,48,yes
8,32,6,8,18,no
8,1,1,1,1,no
8,35,7,11,17,yes
7,1,1,1,1,no
7,77,9,15,29,yes
7,20,5,5,19,no
8,12,5,5,7,no
9,68,3,3,8,yes
9,251,10,14,19,yes
9,30,7,10,20,no
9,37,9,8,6,yes
9,5,3,3,4,no
9,1,1,1,1,no
9,77,9,23,13,yes
4,374,16,27,65,yes
5,412,13,31,89,yes
10,1,1,1,1,no
6,72,10,9,10,yes
6,1,1,1,1,no
6,1,1,1,1,no
6,60,8,10,17,yes
5,3,2,2,3,no
12,170,12,17,11,yes
9,12,3,3,10,no
5,326,11,21,57,yes
10,1,1,1,1,no
11,1,1,1,1,no
11,2,2,2,2,no
4,410,15,28,70,yes
4,433,10,21,71,yes
11,1,1,1,1,no
12,1,1,1,1,no
12,4,3,3,2,no
12,1,1,1,1,no
12,1,1,1,1,no
12,4,3,3,2,no
12,4,3,3,2,no
12,4,3,3,2,no
12,1,1,1,1,no
12,4,3,3,2,no
12,12,3,4,7,no
11,22,5,7,9,no
11,12,5,6,12,no
12,4,3,3,2,no
12,1,1,1,1,no
2,2,2,2,2,no
2,1,1,1,1,no
2,2,2,1,2,no
2,6,4,5,5,no
2,1,1,1,1,no
2,5,3,4,3,no
2,1,1,1,1,no
2,65,7,7,10,yes
2,1,1,1,1,no
2,36,10,17,24,yes
2,1,1,1,1,no
2,1,1,1,1,no
2,1,1,1,1,no
2,20,9,13,13,no
2,1,1,1,1,no
3,176,7,17,40,yes
4,1,1,1,1,no
4,174,5,12,23,yes
6,2,2,2,1,no
2,4,2,3,4,no
2,55,7,13,29,yes
2,2,2,2,1,no
2,2,2,2,2,no
2,1,1,1,1,no
2,46,9,14,22,yes
3,1,1,1,1,no
3,2,2,1,2,no
3,1,1,1,1,no
3,27,9,13,23,no
3,166,7,15,15,yes
5,28,4,3,12,no
6,55,8,21,20,yes
7,14,4,5,13,no
7,32,4,8,23,no
7,4,3,2,4,no
2,2,2,2,2,no
2,1,1,1,1,no
2,5,3,5,4,no
2,2,2,2,2,no
2,3,2,3,1,no
2,1,1,1,1,no
2,65,7,7,10,yes
2,1,1,1,1,no
2,36,10,17,24,yes
2,1,1,1,1,no
2,1,1,1,1,no
2,1,1,1,1,no
2,20,9,13,13,no
2,1,1,1,1,no
3,176,7,17,40,yes
4,1,1,1,1,no
4,174,5,12,23,yes
6,2,2,2,1,no
2,4,2,3,4,no
2,55,7,13,29,yes
2,2,2,2,1,no
2,2,2,2,2,no
2,1,1,1,1,no
2,46,9,14,22,yes
3,1,1,1,1,no
3,1,1,1,1,no
3,27,9,13,23,no
3,166,7,15,15,yes
5,28,4,3,12,no
6,7,4,5,7,no
7,14,4,5,13,no
7,32,4,8,23,no
7,4,3,2,4,no
2,2,2,2,2,no
2,1,1,1,1,no
2,5,3,5,4,no
2,2,2,2,2,no
2,3,2,3,1,no
2,1,1,1,1,no
2,65,7,7,10,yes
2,1,1,1,1,no
2,36,10,17,24,yes
2,1,1,1,1,no
2,1,1,1,1,no
2,1,1,1,1,no
2,20,9,13,13,no
2,1,1,1,1,no
3,176,7,17,40,yes
4,1,1,1,1,no
4,174,5,12,23,yes
6,2,2,2,1,no
2,4,2,3,4,no
2,55,7,13,29,yes
2,2,2,2,1,no
2,2,2,2,2,no
2,1,1,1,1,no
2,46,9,14,22,yes
3,1,1,1,1,no
3,1,1,1,1,no
3,27,9,13,23,no
3,166,7,15,15,yes
5,28,4,3,12,no
6,7,4,5,7,no
7,14,4,5,13,no
7,32,4,8,23,no
7,4,3,2,4,no
